pipe_age,water_usage,rainfall,appliance_count,daily_usage,wiring_age,gas_appliances,pipe_condition,internet_devices,speed_plan,household_size,recycling_score,maintenance_cost
16,415.66,4.11,13,15.7,21,5,10,9,Basic,5,4,211.46
14,435.78,293.15,10,12.7,24,5,7,4,Standard,1,8,153.16
11,369.83,39.04,5,19.2,16,4,3,1,Premium,6,2,207.39
16,452.1,103.41,17,21.9,34,7,6,14,Premium,1,7,273.78
7,338.83,50.34,3,7.2,5,7,10,2,Premium,2,3,124.52
1,236.11,27.93,18,15.3,16,5,2,14,Basic,3,10,166.65
26,112.36,297.89,14,6.7,14,4,8,3,Basic,2,10,157.48
5,352.35,260.03,18,1.7,7,9,5,12,Premium,7,4,194.88
12,174.03,143.92,4,12.9,23,4,3,14,Standard,7,3,166.22
14,226.12,46.99,13,22.5,16,3,8,11,Premium,7,1,250.12
8,399.89,144.3,11,17.5,20,8,1,5,Basic,2,8,212.31
16,300.34,32.32,15,1.8,1,8,7,5,Premium,3,10,146.47
2,336.3,18.84,17,6.0,3,8,1,12,Standard,5,9,177.1
28,350.2,186.69,16,19.6,12,7,1,7,Premium,2,5,202.92
8,407.7,194.11,13,23.6,39,7,1,1,Premium,7,5,268.77
18,223.81,169.51,17,20.7,17,7,8,13,Basic,3,6,230.98
19,488.84,149.69,11,10.9,7,0,7,6,Premium,6,1,217.08
27,317.61,204.17,1,23.0,14,4,8,12,Basic,4,1,223.95
14,486.97,220.45,12,5.2,34,2,5,1,Standard,4,6,229.31
21,168.39,146.59,2,17.2,32,0,1,12,Basic,7,7,238.15
2,114.53,5.19,9,7.0,29,7,8,14,Basic,5,2,162.86
18,52.69,81.07,11,22.1,20,5,2,8,Basic,4,2,217.85
1,187.6,231.06,12,15.9,30,4,10,7,Basic,7,8,142.65
6,287.9,84.82,15,20.6,17,7,3,10,Basic,4,5,264.82
2,298.96,222.66,16,4.1,11,6,4,10,Premium,6,7,135.72
8,285.51,170.7,17,10.8,3,4,3,14,Standard,2,2,164.9
28,238.2,61.97,15,2.3,36,9,7,13,Standard,2,6,281.19
3,371.64,58.5,11,14.0,34,0,7,10,Basic,5,2,199.3
5,295.11,122.85,11,6.1,26,3,10,7,Basic,2,8,134.01
6,148.13,107.04,2,11.1,20,7,1,2,Basic,2,8,143.2
3,480.7,163.66,11,8.6,34,7,4,11,Premium,4,6,208.85
23,497.1,107.87,1,16.8,1,9,5,1,Basic,2,1,238.41
29,489.88,102.25,9,7.3,34,7,1,7,Basic,7,4,347.53
13,237.63,86.51,18,2.2,8,4,3,1,Standard,6,3,133.17
29,316.15,187.9,7,3.1,26,9,9,14,Standard,4,7,230.37
18,134.98,53.98,16,19.4,16,9,4,11,Basic,7,4,202.09
14,351.75,4.76,4,7.9,17,6,1,3,Standard,5,9,201.36
11,346.54,7.69,5,6.5,15,4,8,14,Standard,2,4,206.92
25,271.55,264.6,5,15.9,36,0,10,6,Basic,3,6,227.22
18,449.75,225.79,9,2.2,21,1,8,4,Standard,5,9,191.93
12,139.18,133.23,9,4.9,26,1,1,10,Basic,6,2,150.04
2,477.47,33.3,6,12.4,30,6,8,13,Basic,5,1,185.71
13,498.65,174.79,5,5.8,25,7,3,13,Standard,6,5,256.46
6,434.54,213.2,5,13.7,36,0,8,12,Basic,3,3,238.17
24,496.43,287.39,19,3.5,37,2,10,2,Standard,1,8,239.92
14,91.57,232.22,7,17.7,6,3,4,10,Premium,5,7,181.25
22,434.34,231.37,1,7.7,5,6,4,12,Standard,1,9,186.12
28,436.4,239.06,4,15.1,33,1,3,13,Standard,7,8,271.56
19,374.97,128.12,10,12.1,9,6,6,3,Standard,4,1,209.97
5,138.24,273.32,18,11.6,37,3,10,2,Basic,6,4,197.61
10,312.52,267.73,14,24.0,9,8,4,11,Standard,3,8,170.23
27,84.21,266.76,12,13.1,15,3,4,12,Standard,1,3,180.18
20,186.31,263.48,18,17.7,24,7,7,12,Premium,7,3,214.97
13,226.46,220.08,7,2.5,12,6,8,9,Standard,3,1,130.0
10,124.33,262.32,3,21.0,4,1,10,2,Premium,1,4,67.93
17,447.99,126.19,11,9.1,9,2,9,12,Basic,3,10,216.05
4,276.31,77.81,1,10.0,21,4,10,7,Basic,2,3,95.15
19,270.62,162.29,4,4.5,20,4,6,14,Basic,6,10,211.53
27,387.34,277.7,8,4.5,20,9,8,10,Premium,4,2,192.31
29,378.83,0.55,13,22.0,25,5,10,2,Standard,3,4,274.09
5,128.11,148.82,16,18.5,9,4,2,14,Premium,6,1,162.8
2,368.45,294.74,5,13.8,9,9,7,5,Standard,7,3,168.7
18,184.55,285.15,19,7.8,21,6,4,7,Premium,1,9,153.17
18,97.48,146.47,3,7.4,10,9,10,5,Standard,2,10,52.75
20,487.87,292.04,5,13.1,10,0,4,14,Premium,2,3,206.39
19,67.78,77.08,11,14.2,11,2,6,14,Standard,6,5,158.46
7,198.45,64.2,15,5.8,5,6,4,11,Standard,1,8,159.31
23,405.04,296.89,18,14.2,25,7,6,10,Premium,4,7,249.23
17,382.36,244.25,4,14.6,13,1,6,10,Standard,3,2,202.72
16,479.38,182.8,11,23.0,33,4,10,1,Premium,2,9,197.65
23,489.31,286.27,10,6.8,15,8,3,8,Basic,5,8,187.55
26,252.62,94.05,13,16.1,14,1,9,7,Basic,3,5,186.78
17,460.08,172.25,2,12.3,37,6,3,4,Premium,4,8,202.03
29,400.42,88.07,18,12.8,28,9,6,9,Standard,1,8,305.37
26,421.39,130.22,14,16.0,35,6,7,10,Basic,4,5,327.49
23,149.62,14.01,4,22.6,26,2,3,2,Standard,7,7,209.15
10,103.61,48.05,8,8.3,4,1,4,2,Basic,1,3,57.87
13,172.41,32.96,14,7.2,6,4,10,6,Premium,4,2,153.52
5,102.25,102.24,17,13.2,8,8,9,12,Standard,5,3,128.25
24,359.16,31.26,8,2.5,33,2,6,10,Standard,7,3,276.01
2,55.1,223.95,18,10.8,31,5,6,2,Standard,6,9,113.76
21,375.35,12.45,11,4.6,20,8,6,1,Premium,7,9,257.67
20,323.24,108.83,5,10.9,11,5,5,12,Basic,6,10,200.92
1,498.51,133.79,3,19.9,38,7,9,5,Premium,4,7,243.64
15,330.39,47.8,4,1.9,31,5,3,8,Standard,5,8,188.65
18,119.89,193.46,9,11.1,37,3,10,10,Premium,2,2,144.6
29,200.54,17.36,14,17.9,19,4,4,7,Standard,4,3,264.95
24,454.0,227.26,8,11.3,25,7,2,8,Premium,5,4,265.1
14,189.31,168.24,18,1.7,28,9,1,9,Basic,5,1,195.05
4,258.01,229.59,4,16.3,25,4,7,14,Basic,5,6,162.68
7,499.44,178.87,18,4.1,27,2,7,13,Premium,5,3,229.97
3,215.65,84.75,11,16.4,33,6,5,6,Standard,6,1,220.38
17,120.59,99.04,13,2.9,30,3,3,8,Premium,7,1,219.84
27,352.51,223.05,8,17.2,21,4,2,3,Basic,1,4,202.88
1,103.4,54.49,7,13.1,25,8,9,1,Premium,5,7,115.92
29,307.64,187.18,9,16.6,39,1,6,11,Premium,3,6,247.13
5,366.05,241.05,15,3.5,20,4,6,11,Basic,6,9,138.25
25,344.16,130.99,12,6.3,38,8,2,14,Basic,1,1,309.86
4,472.25,209.72,8,4.8,35,9,9,10,Premium,5,1,245.52
14,406.8,112.62,18,1.2,28,7,2,3,Premium,5,10,241.66
10,64.76,274.21,15,22.8,7,9,7,8,Basic,3,9,98.19
28,170.01,20.9,2,12.5,29,4,5,10,Premium,7,2,258.84
19,253.86,13.71,14,8.0,14,5,5,12,Standard,4,3,181.31
25,109.64,205.66,17,6.3,14,8,4,9,Premium,5,7,173.04
26,345.03,23.54,19,9.0,6,1,10,11,Standard,2,4,164.96
22,182.55,262.12,16,19.4,21,8,7,6,Premium,4,2,224.73
19,119.44,131.7,3,3.0,14,9,5,10,Premium,4,3,124.05
17,297.33,193.67,11,8.2,31,2,8,9,Basic,5,4,230.28
9,478.77,103.66,18,10.4,4,7,4,14,Standard,2,10,223.25
27,113.66,234.34,19,17.4,23,4,6,7,Standard,7,10,232.01
29,414.93,229.16,16,17.5,21,3,6,14,Premium,1,7,265.82
3,93.98,143.13,5,3.4,19,6,5,4,Premium,6,4,71.02
3,481.14,224.99,1,7.5,9,9,1,11,Premium,6,2,205.38
4,62.64,192.12,1,23.8,8,1,3,11,Premium,7,10,118.87
8,301.32,168.48,10,14.5,26,7,1,6,Premium,5,9,241.28
6,342.78,241.62,4,13.5,18,5,9,10,Basic,2,2,115.87
23,213.95,17.14,15,8.8,37,2,6,2,Standard,2,10,214.34
6,99.65,106.27,3,13.9,17,7,2,8,Premium,3,8,155.24
1,408.53,33.09,2,18.3,23,0,10,13,Premium,1,5,86.37
28,347.53,34.25,14,18.5,26,9,3,14,Basic,7,3,258.65
28,258.67,277.11,10,19.5,19,3,6,14,Basic,5,4,216.41
18,312.56,26.87,1,11.3,16,1,6,9,Basic,6,1,181.45
12,147.39,218.06,8,8.6,23,0,4,14,Standard,4,2,131.8
20,161.25,289.54,8,17.7,19,5,5,13,Standard,2,8,164.2
19,417.31,297.67,18,20.8,5,3,4,6,Basic,3,6,230.04
2,171.33,142.78,14,3.2,6,8,5,9,Premium,4,7,103.04
15,325.85,7.86,8,8.0,8,6,2,1,Standard,3,3,198.2
8,141.91,189.61,6,12.8,28,2,2,5,Standard,5,10,77.29
23,317.33,128.29,7,23.5,7,9,8,2,Basic,6,10,177.01
20,284.61,29.73,5,16.6,35,6,9,5,Basic,7,1,255.69
20,152.66,119.51,3,1.9,35,3,7,11,Premium,4,7,189.01
3,492.55,20.78,19,1.4,14,5,6,8,Standard,5,10,199.1
18,51.53,93.64,15,23.6,35,8,4,13,Basic,5,4,188.56
26,439.14,82.99,18,4.4,26,0,7,3,Basic,7,4,240.92
10,88.58,138.23,19,22.6,26,0,5,7,Premium,3,4,174.08
26,434.5,234.5,9,6.1,27,2,6,11,Standard,6,4,251.57
25,380.65,104.89,6,15.1,16,8,3,8,Standard,4,5,213.74
25,74.65,295.7,18,20.3,33,3,6,1,Basic,5,8,167.14
8,334.67,86.39,13,10.5,9,8,6,4,Premium,3,5,196.94
22,266.25,207.22,18,20.8,14,8,9,6,Premium,4,10,156.78
29,81.41,164.87,9,23.1,16,7,8,2,Standard,1,10,146.74
16,111.53,83.04,19,12.4,26,9,4,2,Premium,2,4,255.78
20,450.44,90.04,15,4.7,5,5,8,1,Premium,6,3,209.66
27,158.96,52.09,4,10.9,11,6,2,7,Standard,6,3,186.03
17,460.93,45.95,2,14.5,32,3,9,5,Basic,5,5,287.88
28,411.8,276.97,12,3.2,30,9,5,9,Premium,3,3,312.64
1,343.41,243.05,17,7.2,38,2,6,4,Basic,3,9,187.94
3,310.77,17.08,19,12.5,8,7,7,4,Standard,7,5,168.49
12,420.21,98.55,3,1.3,31,2,2,7,Basic,5,10,184.78
14,442.68,189.68,4,16.1,35,0,3,7,Premium,4,8,229.32
5,280.74,13.86,5,20.0,26,1,7,1,Basic,1,3,172.43
2,93.61,106.91,18,14.4,15,7,7,14,Standard,3,2,140.59
22,452.21,190.76,1,16.0,11,4,5,11,Standard,3,5,198.29
13,129.51,278.19,17,1.8,39,5,2,1,Basic,5,9,114.49
20,264.99,90.65,9,3.2,23,1,3,8,Basic,7,10,189.37
7,130.58,6.03,6,15.8,37,3,10,4,Standard,5,6,171.46
20,417.65,185.84,4,2.8,22,0,7,9,Premium,4,10,199.99
18,321.73,131.8,19,13.9,21,6,2,3,Standard,1,6,208.34
5,170.49,87.1,3,9.7,7,4,10,3,Standard,6,6,82.88
22,469.57,46.06,14,18.3,2,6,2,2,Premium,1,10,211.61
26,210.18,168.43,6,19.3,5,8,6,12,Basic,7,7,173.4
22,466.4,257.44,16,10.7,28,5,10,9,Standard,7,1,285.04
19,310.9,264.85,8,12.0,33,9,10,4,Standard,5,6,228.72
6,292.75,97.71,5,23.8,30,7,4,14,Basic,6,8,204.97
6,447.9,283.65,13,17.2,21,1,7,11,Standard,1,9,173.44
24,448.27,48.96,8,16.5,28,9,6,9,Standard,6,3,339.52
16,481.5,75.55,11,4.2,12,6,10,2,Premium,7,10,225.61
29,265.16,248.16,3,11.6,19,9,1,8,Premium,2,3,231.57
15,89.26,65.22,15,17.7,27,3,10,4,Standard,2,4,168.52
11,399.31,134.11,4,11.8,19,5,1,10,Basic,5,8,188.74
20,124.16,35.06,10,20.7,18,4,9,5,Basic,2,7,139.63
29,313.93,217.52,3,10.3,38,1,4,5,Standard,1,8,212.41
28,428.08,269.46,11,16.8,15,8,5,5,Basic,1,10,162.06
21,257.31,132.95,12,22.7,4,1,10,13,Standard,7,4,221.61
7,343.22,245.13,15,5.9,16,9,2,9,Premium,1,7,191.52
5,273.85,47.58,12,2.6,23,3,8,5,Premium,3,2,154.2
14,315.05,277.13,19,11.3,22,9,7,3,Basic,2,9,227.96
12,456.12,116.76,3,1.3,28,2,4,11,Standard,4,5,260.2
9,487.95,9.87,8,2.2,13,1,4,4,Standard,4,7,148.13
12,137.64,64.92,11,23.1,15,3,10,9,Premium,7,1,173.28
17,262.09,175.9,4,8.7,10,1,10,9,Premium,7,2,190.29
27,379.96,49.89,17,16.6,5,5,1,3,Premium,5,2,252.72
10,159.49,253.94,2,3.3,13,2,10,1,Premium,7,4,95.98
24,322.11,285.28,2,14.4,12,1,9,12,Standard,7,6,155.66
25,359.48,64.91,8,15.0,21,3,3,7,Basic,6,2,205.06
21,359.0,24.66,5,11.2,6,1,6,5,Basic,3,4,189.49
3,380.36,175.4,19,19.0,33,6,2,11,Premium,3,4,226.76
3,226.56,81.78,13,9.7,25,0,7,1,Premium,5,2,141.18
4,123.41,44.94,5,7.0,12,5,3,7,Standard,2,2,119.79
14,90.91,215.18,2,17.9,32,4,7,3,Standard,1,8,192.56
20,157.78,241.11,15,2.5,18,4,1,8,Basic,5,9,150.35
5,157.82,207.62,15,2.1,28,0,5,9,Premium,4,6,121.72
3,235.69,259.15,14,5.5,12,4,4,6,Standard,6,4,117.63
3,293.29,235.28,3,14.0,12,2,10,2,Premium,4,4,156.05
2,493.31,218.34,9,4.6,1,5,7,9,Premium,7,3,154.96
12,187.12,265.84,5,5.3,2,0,9,3,Standard,3,3,126.09
19,401.56,207.32,18,8.8,18,5,8,8,Premium,6,7,221.88
17,168.33,138.51,3,14.9,6,1,2,11,Basic,3,9,113.18
26,85.71,127.24,19,17.9,8,3,8,11,Basic,1,5,187.05
28,292.77,211.46,4,7.8,29,2,1,10,Standard,2,7,177.4
23,255.41,207.99,17,5.9,12,6,5,2,Basic,5,9,207.85
3,433.75,105.23,4,23.5,35,1,6,1,Standard,2,6,193.87
3,422.2,153.0,9,6.7,25,9,2,4,Standard,4,4,174.74
23,127.18,132.73,7,7.0,7,7,3,4,Standard,5,10,124.56
8,137.99,44.63,10,3.5,25,0,4,5,Standard,7,10,155.17
26,116.51,192.65,4,5.6,30,7,7,7,Basic,5,1,182.3
29,240.94,293.19,13,2.5,3,4,4,8,Premium,4,6,210.31
18,493.0,181.7,16,16.2,32,7,8,8,Basic,2,5,247.6
16,180.3,266.09,19,7.4,34,2,6,5,Standard,6,6,233.13
10,390.49,90.5,16,9.6,22,7,10,10,Premium,1,6,204.78
1,266.28,156.18,9,8.6,38,9,6,4,Premium,2,3,207.94
2,251.72,27.23,3,9.7,17,2,9,12,Basic,7,3,150.53
17,232.29,14.14,5,23.1,15,2,10,6,Standard,3,9,131.3
19,253.88,157.75,11,11.9,9,3,8,12,Premium,6,10,163.81
11,483.14,135.26,1,14.5,34,5,5,4,Basic,4,8,219.34
26,294.33,13.7,13,9.0,7,3,4,9,Standard,2,10,187.04
11,216.04,236.04,18,11.0,13,6,3,9,Basic,2,7,64.8
28,98.88,123.43,13,3.1,33,8,1,3,Basic,5,1,233.29
15,89.49,242.45,19,9.5,37,1,5,13,Standard,3,3,227.52
26,385.76,124.96,9,18.1,24,4,10,4,Standard,7,10,277.83
15,482.97,263.82,2,22.7,5,9,1,11,Basic,6,3,227.03
2,370.34,119.2,8,7.8,4,4,3,13,Basic,1,4,112.4
5,151.98,85.55,13,13.3,5,8,5,8,Basic,6,3,127.46
7,71.37,56.44,12,8.5,34,0,4,11,Premium,6,6,201.53
7,339.35,166.68,19,6.7,2,1,6,13,Basic,3,6,111.17
11,157.76,0.18,4,17.3,22,2,7,8,Premium,6,7,181.3
6,474.0,82.43,15,3.8,38,2,6,3,Basic,4,7,267.29
23,276.06,57.94,7,11.6,19,6,8,9,Basic,7,4,198.42
21,471.07,157.02,8,19.0,39,8,7,4,Basic,5,8,269.36
6,220.74,205.3,8,22.1,34,4,1,2,Basic,3,10,177.18
2,449.98,40.65,5,11.9,37,8,8,10,Basic,6,3,222.17
28,178.87,291.3,14,21.9,15,6,10,1,Basic,3,6,143.98
18,70.94,147.92,6,6.5,15,8,8,11,Standard,2,6,141.56
20,195.44,283.88,14,16.9,7,5,5,10,Premium,6,3,196.94
12,168.8,237.72,16,10.4,1,8,2,8,Premium,7,4,155.76
19,354.02,6.1,17,5.6,7,4,7,6,Standard,2,4,177.94
10,183.69,164.59,18,10.6,32,3,3,9,Standard,2,8,191.16
26,401.79,52.79,16,1.3,16,2,4,6,Standard,3,8,233.99
29,55.7,29.75,17,17.8,14,4,5,11,Premium,3,3,223.66
10,479.22,297.02,5,8.7,16,5,10,14,Premium,4,1,217.95
4,447.96,278.06,4,19.5,23,4,3,5,Basic,2,3,132.29
3,334.41,8.61,7,7.5,28,9,8,1,Premium,3,7,189.39
1,279.32,237.04,7,13.4,30,9,6,10,Basic,5,8,175.01
19,447.87,177.72,12,14.8,37,7,3,6,Premium,4,3,317.56
15,453.2,81.29,12,22.9,12,0,7,14,Standard,2,8,197.19
3,180.86,254.03,2,12.9,2,2,10,9,Standard,3,4,32.98
17,251.24,255.61,10,7.9,24,7,4,7,Standard,7,4,212.19
18,191.67,140.55,7,21.7,12,3,1,10,Basic,2,10,193.07
25,80.25,44.67,4,16.5,24,2,4,4,Standard,3,7,186.02
3,60.48,29.54,17,16.3,22,8,2,11,Basic,5,3,130.08
22,378.08,159.14,7,21.2,30,6,7,7,Basic,1,5,256.72
12,304.75,236.19,10,9.2,5,1,10,5,Standard,2,8,106.33
2,390.97,19.59,17,15.9,9,6,2,2,Premium,4,2,253.05
29,422.43,239.04,1,23.7,1,1,2,8,Standard,1,9,189.25
10,409.01,70.52,10,14.5,13,0,5,9,Premium,6,8,155.6
7,413.34,98.07,19,16.3,23,7,10,7,Premium,7,5,246.8
7,85.47,169.04,2,11.0,14,2,7,13,Standard,2,10,39.29
14,486.07,106.24,9,15.7,32,9,6,4,Premium,6,2,329.84
14,200.47,234.19,6,2.1,28,4,6,5,Standard,1,1,138.83
17,237.45,277.39,2,6.5,33,4,9,14,Standard,5,6,192.8
7,469.88,115.08,14,10.9,25,3,10,3,Basic,3,5,225.82
28,414.47,114.85,6,23.6,5,7,7,5,Standard,1,6,221.81
7,147.19,190.0,8,8.1,19,5,3,13,Standard,2,9,154.84
10,131.22,133.17,9,19.5,15,5,8,3,Standard,6,2,123.9
2,71.21,143.25,15,22.0,33,2,3,10,Standard,7,3,193.43
22,239.64,181.88,16,11.8,37,4,1,12,Standard,7,4,320.07
5,129.93,274.82,9,11.5,18,2,8,10,Premium,5,6,109.52
7,439.69,254.21,17,3.2,26,9,4,3,Basic,1,6,174.21
12,254.31,114.9,1,23.3,18,2,5,10,Premium,1,1,182.91
15,239.35,56.24,5,5.0,25,5,10,6,Standard,7,3,144.99
